"","p.value","HR","Low 95%CI","High 95%CI"
"ABCA1",0.02,1.186,1.027,1.369
"ABCA3",0.043,1.107,1.003,1.222
"ABCA6",0.002,1.591,1.183,2.139
"ABCA8",0,1.317,1.132,1.532
"ABCA9",0.002,1.493,1.157,1.926
"ABCD3",0.007,0.731,0.581,0.919
"ABCG4",0.031,2.255,1.077,4.721
"CYP39A1",0.025,0.866,0.764,0.982
"CYP46A1",0.025,2.475,1.121,5.467
"DIO1",0.039,1.29,1.013,1.642
"GCLM",0.049,0.798,0.637,0.999
"HACL1",0.008,0.688,0.523,0.906
"HSD17B4",0.021,0.771,0.618,0.962
"PEX26",0.034,0.728,0.543,0.976
"SCP2",0.01,0.747,0.598,0.934
"SULT1B1",0.03,0.917,0.848,0.992
