"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",200,0.581368804249579,2.18312769063581,0.00144300144300144,0.005249343832021,0.00143666252244785,2356,"tags=40%, list=12%, signal=35%","72/2318/10398/57555/91624/6624/10290/2200/57863/9353/7450/4313/51148/83700/143903/3757/7122/4628/10000/7106/87/4902/1307/1009/5310/5600/4478/8910/478/7070/9672/794/5175/1462/51466/3383/7059/4318/1272/2771/10174/51208/268/947/23114/3667/257194/7414/5788/70/6376/9459/2593/7412/30835/1384/6237/9379/7791/7185/55742/140885/942/5010/2533/5880/84552/8745/3384/54413/649/3688/58/3680/7082/51776/7216/88/60/7087"
"COMPLEMENT","HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",200,0.471323740156376,1.76989184983461,0.00144300144300144,0.005249343832021,0.00143666252244785,3461,"tags=42%, list=18%, signal=35%","718/710/1191/2335/715/7077/716/1465/3684/6352/6935/5054/714/712/3075/1514/1284/9806/3003/7076/1380/7454/2534/59345/2771/2219/4323/10404/5341/341/2207/23414/2625/2153/1508/2157/3937/3932/1519/60489/23533/4973/3569/10019/5155/1847/4855/4057/948/5321/6284/54331/9732/3001/10938/2811/1378/88/55619/5641/3665/30818/1509/4035/5294/5055/1604/308/5292/5327/3303/3717/966/64167/391/29106/200316/51056/801/4317/7128/64145/23348/23764"
"EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",200,0.771206385388837,2.89599648765251,0.00144300144300144,0.005249343832021,0.00143666252244785,2467,"tags=69%, list=13%, signal=61%","6876/2316/2619/6424/4256/10398/3371/26585/4638/1311/6422/6695/59/7169/1809/1292/7058/2199/10272/800/633/2192/2335/2026/6586/1277/25890/3678/7040/1293/2200/10516/4837/1281/8076/1634/10979/1278/2669/9353/5376/4313/6696/1296/3956/7078/1490/1289/4016/2006/30008/5159/6387/5396/10486/7049/2014/5118/115908/4616/5054/7431/7857/10631/3487/3491/1307/2331/8572/1009/5654/11167/4060/1284/7070/7057/3486/6444/7076/6678/2817/1462/3908/9244/7424/1290/4907/2191/7168/1303/25878/2247/4853/4323/4147/7456/10409/50863/8325/4015/8038/3915/22795/333/3624/1842/388/1282/3690/7412/2697/1000/6443/5999/6591/4148/3569/5806/1301/26577/7052/4017/64175/2882/3693/649/3688/50509/813/6535/23705/4035/3685/871/2303/1893/5351/667"
"HYPOXIA","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",200,0.484822349071842,1.8205811656235,0.00144300144300144,0.005249343832021,0.00143666252244785,3034,"tags=36%, list=16%, signal=30%","9590/284119/8406/633/2026/7043/112464/7852/857/1634/1490/1289/5054/2548/3491/5837/9672/3486/2817/9469/4502/1843/51129/4493/6515/10370/2719/2908/4015/5507/8839/6383/2113/8660/3036/5066/6781/1466/3340/1028/3569/1837/10570/5155/7052/2355/3098/3423/5260/5214/665/3798/596/10957/7538/6518/58528/54541/5228/4627/55076/5209/7162/5292/56925/9215/1956/6095/8819/4601/3623"
"INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",200,0.522619088922541,1.96251363393048,0.00144300144300144,0.005249343832021,0.00143666252244785,3246,"tags=47%, list=17%, signal=39%","7432/3678/684/558/6352/2014/5054/929/8877/23166/728/7076/6542/6347/3383/3587/131566/1435/187/719/4283/8685/5099/3554/9180/1536/4481/4323/6402/2550/2719/6324/1236/1880/1240/6376/5739/3624/2357/8744/3690/5027/19/3560/5724/3937/3932/23533/958/4973/962/4061/3569/969/5142/5996/10630/1902/3627/5732/6869/3575/255488/114548/7130/196/10316/10203/6401/8578/7096/3732/2811/1441/3665/23601/4792/3738/10148/1604/7162/6004/6361/6367/166929/23095/391/29933/7832/6892/4049/1316/7097/366"
"TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",200,0.498936570174827,1.87358219818055,0.00144300144300144,0.005249343832021,0.00143666252244785,3851,"tags=50%, list=20%, signal=40%","3371/9945/2669/6352/1846/687/5187/10365/4616/5054/3491/8877/604/6347/3383/1435/1843/23258/1959/10769/6515/4791/5341/9242/1880/9021/1960/4929/8013/6351/3624/8744/3572/388/8660/19/80176/11182/2354/23529/4973/3433/3569/969/5142/3627/7185/6776/5806/1847/5971/2355/5743/3575/50486/7130/7127/8303/7280/11080/10957/8613/7538/10938/1052/1958/6648/4814/597/4792/23586/23135/5055/5209/55332/960/3164/8837/7832/1827/1316/7097/9308/9322/3726/7128/23764/7071/24147/57007/127544/2353/25816/694/10611/1647/8553/150094/4088"
"IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",199,0.459111365045316,1.72098269810652,0.00144717800289436,0.005249343832021,0.00143666252244785,3908,"tags=45%, list=21%, signal=36%","1291/23413/23208/6696/6403/4616/79026/10875/2983/5621/84525/8829/152007/3587/80760/1435/23258/115361/4907/4135/974/6402/5179/6515/23710/4050/11230/333/26018/388/3563/3560/3480/57045/5339/1028/962/8611/126669/4641/3627/7185/975/7074/6484/7052/5732/8530/5745/942/8728/196/596/8320/399/7293/5583/3685/84230/1893/58528/3559/1233/5292/51284/1522/6004/960/6095/8784/23075/2323/2879/28996/55509/1316/10538/6335/9308/79971/23764/3566/214/7133/10410/943/8553/3662/6050/9261"
"KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",199,0.455659123594884,1.70804194286014,0.00144717800289436,0.005249343832021,0.00143666252244785,1931,"tags=31%, list=10%, signal=28%","10418/8404/9590/347/2982/2995/2162/7852/9945/25960/6696/951/10457/9935/3689/5396/55107/9358/3075/7805/8829/3486/3290/5175/2119/6616/3587/28951/131566/2022/4318/51129/719/220/101/3936/55273/6324/1240/2207/2113/83483/3624/10320/1794/2324/11184/80380/23136/2791/7462/3627/7185/4803/5743/3575/50486/4674/5178/64123/23643"
"MYOGENESIS","HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",199,0.696582900886797,2.61114668791677,0.00144717800289436,0.005249343832021,0.00143666252244785,2239,"tags=45%, list=12%, signal=40%","1674/4629/6876/5740/2273/845/26353/4638/8912/7169/165/1292/1410/1191/347/6442/1675/3679/7138/10290/2775/1277/9260/7040/11155/1293/10580/1281/1306/25937/22808/6840/3757/1489/6649/4616/2878/2548/2934/1346/115/8877/5621/1284/1760/5837/3486/6444/4046/3490/6678/6525/3908/8736/8082/187/6300/10174/2247/10278/2702/70/5507/8038/3801/4209/4208/4684/3479/1384/2180/1837/6450/4641/5348/844/3316/4205/2314/948/3693/10014/375790/3688/58/6709/1756/6535/88"
"INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",198,0.540217530793526,2.01937582717838,0.00145348837209302,0.005249343832021,0.00143666252244785,4232,"tags=52%, list=22%, signal=40%","710/715/716/684/6403/6352/6398/10875/3075/10628/10791/6347/1439/3383/3587/972/4502/3117/8082/4283/115361/10068/26524/4261/3123/1240/9021/10581/2357/7412/3560/25939/3937/958/9934/4061/3433/3569/969/5142/3108/3627/5743/942/4599/6773/317649/7130/7127/5321/3695/5214/4939/3001/219285/9636/6648/84159/3665/3437/91543/3434/2209/9246/10964/4792/79132/5371/23586/3620/355/5292/57674/54739/3717/3663/952/81894/6775/6892/51056/103/7128/3566/6772/3669/10410/694/55024/129607/6774/3662/7903/8869/57823/10392/11274/8651/3659/57169/55072/6354"
