"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","GO:0030198","extracellular matrix organization","66/697","368/18670",7.13407473420434e-27,3.3480212727621e-23,2.75976048928431e-23,"ADTRP/TGFB1/ITGB6/COL6A2/COL6A1/ITGA5/SMPD3/NOX1/BGN/FSCN1/MFAP2/COL1A1/COL17A1/AEBP1/COMP/ADAMTS2/SFRP2/FBLN2/TNC/FN1/IHH/COL10A1/FBLN1/SULF1/COL11A1/SPP1/MYH11/MMP28/LAMB2/ITGA7/JAM3/TNXB/CYP1B1/DDR2/CCDC80/ABI3BP/FBLN5/EMILIN1/HSPG2/EFEMP2/LOXL1/VWF/COL14A1/TIMP2/ITGAM/CRISPLD2/GREM1/MFAP4/COL8A2/FBN1/COL15A1/A2M/COL8A1/CCN2/COL6A3/COL5A1/DCN/MFAP5/ITGB2/DPT/COL3A1/COL1A2/MMP2/ELN/ANTXR1/SERPINE1",66
"GO:0043062","GO:0043062","extracellular structure organization","68/697","422/18670",7.60594403729916e-25,1.78473476835225e-21,1.47114970195128e-21,"PRKACB/ADTRP/TGFB1/ITGB6/COL6A2/COL6A1/ITGA5/SMPD3/NOX1/BGN/APOE/FSCN1/MFAP2/COL1A1/COL17A1/AEBP1/COMP/ADAMTS2/SFRP2/FBLN2/TNC/FN1/IHH/COL10A1/FBLN1/SULF1/COL11A1/SPP1/MYH11/MMP28/LAMB2/ITGA7/JAM3/TNXB/CYP1B1/DDR2/CCDC80/ABI3BP/FBLN5/EMILIN1/HSPG2/EFEMP2/LOXL1/VWF/COL14A1/TIMP2/ITGAM/CRISPLD2/GREM1/MFAP4/COL8A2/FBN1/COL15A1/A2M/COL8A1/CCN2/COL6A3/COL5A1/DCN/MFAP5/ITGB2/DPT/COL3A1/COL1A2/MMP2/ELN/ANTXR1/SERPINE1",68
"GO:0006936","GO:0006936","muscle contraction","49/697","360/18670",3.83394931881411e-15,5.99757471773154e-12,4.94377675320767e-12,"SPHK1/ATP1B1/ACE2/FLNA/OBSL1/TPM2/COMP/MYL9/TNNT1/CNN1/SULF1/HSPB6/ACTG2/DES/CHGA/MYH11/TMOD1/CACNA1H/TLN1/TACR2/GNAO1/ATP1A2/CASQ2/ATP2B4/SYNM/SGCA/LMOD1/KCNMA1/CHRM2/CHRNA3/MYLK/KCNE4/ACTA2/CRYAB/GUCY1A1/PLN/CACNA1C/CAV1/PPP1R12B/ANXA6/MYOCD/CALD1/GAA/CXCR4/VIM/CCN2/SORBS1/KCNH2/TNNC2",49
"GO:0003012","GO:0003012","muscle system process","53/697","465/18670",4.44241136332953e-13,5.21205913202637e-10,4.29627941058842e-10,"SPHK1/ATP1B1/ACE2/FLNA/OBSL1/TPM2/COMP/MYL9/TNNT1/CNN1/SULF1/HSPB6/ACTG2/DES/CHGA/MYH11/TMOD1/CACNA1H/TLN1/TACR2/GNAO1/ATP1A2/CASQ2/ATP2B4/SYNM/SGCA/HAND2/LMOD1/KCNMA1/CHRM2/CHRNA3/MYLK/KCNE4/MYOC/ACTA2/CRYAB/GUCY1A1/PLN/CACNA1C/CAV1/PPP1R12B/ANXA6/MYOCD/PI16/CALD1/GAA/CXCR4/VIM/IGFBP5/CCN2/SORBS1/KCNH2/TNNC2",53
"GO:0032963","GO:0032963","collagen metabolic process","24/697","115/18670",5.1534902749229e-12,4.63188304514797e-09,3.81804259219639e-09,"PPARG/TGFB1/RCN3/SMPD3/COL1A1/ADAMTS2/IHH/MMP28/TNS2/TNXB/P3H3/TGFB3/EMILIN1/MYB/ID1/MFAP4/VIM/PDGFRB/MRC2/COL15A1/CCN2/COL5A1/COL1A2/MMP2",24
"GO:0007178","GO:0007178","transmembrane receptor protein serine/threonine kinase signaling pathway","43/697","349/18670",5.92186197973318e-12,4.63188304514797e-09,3.81804259219639e-09,"PBLD/LTBP3/FSTL3/TGFB1/SMPD3/SOSTDC1/COMP/RBPMS2/SFRP2/HPGD/HTRA3/LEFTY1/TDGF1/SLC39A5/SULF1/SFRP4/TGFB1I1/CILP/RGMA/CHRDL1/LTBP4/ROR2/SFRP1/TGFB3/FERMT2/WWTR1/EMILIN1/ZEB1/CAV1/MYOCD/CD109/ID1/GREM1/TGFBR3/VIM/FBN1/CLDN5/LTBP1/LTBP2/COL3A1/ASPN/COL1A2/FOLR1",43
"GO:0031589","GO:0031589","cell-substrate adhesion","43/697","354/18670",9.52570031191741e-12,5.17210710519193e-09,4.26334711531853e-09,"LGALS1/ITGB6/CCL28/OLFM4/ITGA5/FLNA/COL1A1/COL17A1/FBLN2/AGR2/L1CAM/FN1/SPOCK1/CEACAM6/FBLN1/CCL21/LAMB2/ITGA7/ACTN1/JAM3/DDR2/CCDC80/SFRP1/ABI3BP/FBLN5/MYOC/MYADM/AXL/FERMT2/EMILIN1/HSPG2/LIMS2/VWF/ID1/COL8A1/CCN2/SORBS1/ITGB2/COL3A1/PTPRO/ANTXR1/APOD/SERPINE1",43
"GO:0001503","GO:0001503","ossification","46/697","398/18670",1.01572960501775e-11,5.17210710519193e-09,4.26334711531853e-09,"LTBP3/FSTL3/TGFB1/CLEC11A/FAM20C/COL6A1/SMPD3/COL1A1/COMP/SFRP2/TNC/IHH/COL11A1/SPP1/PDLIM7/HAND2/CHRDL1/ROR2/DDR2/SFRP1/TGFB3/MYOC/WWTR1/MN1/CHRDL2/TWIST2/MGP/ID1/SOX8/SATB2/GREM1/MRC2/OMD/AXIN2/IGFBP5/CCN2/CEBPA/FGFR3/AREG/ASPN/COL1A2/MMP2/SIX2/GPNMB/LRP4/CTHRC1",46
"GO:0051216","GO:0051216","cartilage development","32/697","209/18670",1.07683794060556e-11,5.17210710519193e-09,4.26334711531853e-09,"LTBP3/TGFB1/COL6A2/COL6A1/SMPD3/COL1A1/COMP/SFRP2/IHH/SULF1/COL11A1/MATN2/FGFR1/WNT9A/HAND2/ROR2/EVC/CHRDL2/ZEB1/MGP/ANXA6/COL14A1/SATB2/GREM1/SCARA3/AXIN2/EFEMP1/CCN2/COL6A3/FGFR3/PRRX1/SIX2",32
"GO:0061448","GO:0061448","connective tissue development","37/697","273/18670",1.1020897304905e-11,5.17210710519193e-09,4.26334711531853e-09,"LTBP3/TGFB1/COL6A2/COL6A1/SMPD3/COL1A1/COMP/SFRP2/IHH/SULF1/COL11A1/MATN2/FGFR1/WNT9A/HAND2/ROR2/ACTA2/EVC/CHRDL2/ZEB1/MGP/ANXA6/COL14A1/SOX8/SATB2/GREM1/SCARA3/PDGFRB/AXIN2/EFEMP1/OXCT1/CCN2/COL6A3/FGFR3/COL5A1/PRRX1/SIX2",37
