"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","99/729","406/19717",3.66744212173988e-53,1.59900476507859e-50,1.25851171756548e-50,"LTBP3/TINAG/EGFL7/LGALS4/LGALS1/TGFB1/COL6A2/COL6A1/BGN/APOE/MFAP2/COL1A1/COL17A1/AEBP1/COMP/ADAMTS2/SERPING1/SFRP2/FBLN2/TNC/L1CAM/FN1/ZG16/THBS2/COL10A1/FBLN1/SULF1/THBS4/COL11A1/PRELP/MUC17/MUC2/MATN2/MMP28/OGN/S100A7/LAMB2/TGFB1I1/SSC5D/SRPX/TNXB/CILP/MXRA7/LTBP4/SPARCL1/CCDC80/SFRP1/ABI3BP/CSPG4/NTN1/FBLN5/TGFB3/PODN/MYOC/SPON1/EMILIN1/HSPG2/ADAMTS1/EFEMP2/MGP/ANGPTL2/ANXA6/LOXL1/VWF/COL14A1/TIMP2/GREM1/MFAP4/COL8A2/SERPINF1/SCARA3/FBN1/OMD/COL15A1/EFEMP1/CTSF/TIMP3/CXCL12/A2M/COL8A1/CCN2/CLU/COL6A3/PCOLCE/LTBP1/LTBP2/F13A1/COL5A1/DCN/MFAP5/DPT/COL3A1/ASPN/COL1A2/MMP2/ELN/SERPINE1/CTHRC1/SOD3",99
"GO:0044449","GO:0044449","contractile fiber part","38/729","221/19717",1.98457555021466e-15,3.59765045373682e-13,2.83156457730131e-13,"PDLIM4/FLNA/OBSL1/TPM2/MYL9/FLNC/TNNT1/DES/MYH11/SYNPO2/TMOD1/SYNC/ACTN1/JPH2/PDLIM7/LDB3/CASQ2/ARHGEF25/ATP2B4/SYNM/LMOD1/FBXO32/CSRP1/PDLIM3/AHNAK2/CFL2/PALLD/ACTA2/FERMT2/CRYAB/NEXN/CACNA1C/PPP1R12B/PGM5/SVIL/MMP2/TNNC2/DUSP27",38
"GO:0043292","GO:0043292","contractile fiber","39/729","234/19717",2.47544755991066e-15,3.59765045373682e-13,2.83156457730131e-13,"PDLIM4/FLNA/OBSL1/TPM2/MYL9/FLNC/TNNT1/DES/MYH11/SYNPO2/TMOD1/SYNC/ACTN1/JPH2/PDLIM7/LDB3/CASQ2/ARHGEF25/ATP2B4/SYNM/LMOD1/FBXO32/CSRP1/PDLIM3/AHNAK2/CFL2/PALLD/ACTA2/FERMT2/CRYAB/NEXN/CACNA1C/PPP1R12B/PGM5/SVIL/CALD1/MMP2/TNNC2/DUSP27",39
"GO:0044420","GO:0044420","extracellular matrix component","19/729","51/19717",7.80490218373514e-15,8.50734338027131e-13,6.69578450499383e-13,"MFAP2/COL1A1/TNC/FBLN1/COL11A1/LAMB2/FBLN5/EMILIN1/COL14A1/MFAP4/FBN1/COL15A1/COL8A1/LTBP1/COL5A1/MFAP5/COL3A1/COL1A2/ELN",19
"GO:0030016","GO:0030016","myofibril","37/729","224/19717",1.74020672221501e-14,1.51746026177149e-12,1.19433135040441e-12,"PDLIM4/FLNA/OBSL1/TPM2/MYL9/FLNC/TNNT1/DES/SYNPO2/TMOD1/SYNC/ACTN1/JPH2/PDLIM7/LDB3/CASQ2/ARHGEF25/ATP2B4/SYNM/LMOD1/FBXO32/CSRP1/PDLIM3/AHNAK2/CFL2/PALLD/FERMT2/CRYAB/NEXN/CACNA1C/PPP1R12B/PGM5/SVIL/CALD1/MMP2/TNNC2/DUSP27",37
"GO:0030017","GO:0030017","sarcomere","34/729","204/19717",1.55635382037692e-13,1.13095044280723e-11,8.90125167443641e-12,"PDLIM4/FLNA/OBSL1/TPM2/MYL9/FLNC/TNNT1/DES/SYNPO2/TMOD1/SYNC/ACTN1/JPH2/PDLIM7/LDB3/CASQ2/ARHGEF25/ATP2B4/LMOD1/FBXO32/CSRP1/PDLIM3/AHNAK2/CFL2/PALLD/FERMT2/CRYAB/NEXN/CACNA1C/PPP1R12B/PGM5/MMP2/TNNC2/DUSP27",34
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","42/729","309/19717",2.95774920005075e-13,1.84225521603161e-11,1.44996426949856e-11,"FSTL3/CERCAM/LGALS1/CES3/FAM20C/COL6A2/RCN3/COL6A1/MXRA8/APOE/COL1A1/COL17A1/VGF/TNC/FN1/COL10A1/C3/COL11A1/SPP1/NOTUM/LAMB2/CASQ2/CHRDL1/SPARCL1/BCHE/SPON1/SLC27A2/COL14A1/COL8A2/FBN1/COL15A1/IGFBP5/ERP27/COL8A1/CLU/COL6A3/LTBP1/SCG2/COL5A1/COL3A1/COL1A2/CYP2W1",42
"GO:0005604","GO:0005604","basement membrane","22/729","95/19717",3.68015064767837e-12,2.00568210298471e-10,1.57859093571467e-10,"TINAG/COL17A1/TNC/FN1/THBS2/FBLN1/THBS4/MATN2/LAMB2/CCDC80/NTN1/HSPG2/ADAMTS1/EFEMP2/LOXL1/COL8A2/SERPINF1/FBN1/COL15A1/TIMP3/COL8A1/COL5A1",22
"GO:0005581","GO:0005581","collagen trimer","21/729","87/19717",4.82804619263295e-12,2.33892015554219e-10,1.84086907461794e-10,"COL6A2/COL6A1/COL1A1/COL17A1/MARCO/COL10A1/COL11A1/COLEC12/EMILIN1/COL14A1/C1QTNF1/COL8A2/SCARA3/COL15A1/COL8A1/COL6A3/COL5A1/DCN/COL3A1/COL1A2/CTHRC1",21
"GO:0030018","GO:0030018","Z disc","25/729","132/19717",1.47073627902628e-11,6.0099748732223e-10,4.73020716723918e-10,"PDLIM4/FLNA/OBSL1/MYL9/FLNC/DES/SYNPO2/SYNC/ACTN1/JPH2/PDLIM7/LDB3/CASQ2/ATP2B4/FBXO32/CSRP1/PDLIM3/AHNAK2/CFL2/PALLD/CRYAB/NEXN/CACNA1C/PPP1R12B/PGM5",25
