"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04974","hsa04974","Protein digestion and absorption","21/353","103/8224",1.73774858616447e-09,4.98733844229203e-07,3.95109152222658e-07,"481/4224/1292/59272/1291/1277/1308/1300/1301/477/7373/1296/1306/1295/1293/6519/1289/6564/1281/1278/2006",21
"hsa04512","hsa04512","ECM-receptor interaction","18/353","88/8224",2.45411443404636e-08,3.41309779868414e-06,2.70393957277012e-06,"3694/1292/1291/3678/1277/1311/3371/2335/7058/7060/6696/3913/3679/7148/3339/7450/1293/1278",18
"hsa04510","hsa04510","Focal adhesion","28/353","203/8224",3.56769804740502e-08,3.41309779868414e-06,2.70393957277012e-06,"3694/1292/10451/1291/3678/2316/1277/1311/10398/3371/2335/2318/7058/7060/6696/3913/3679/7094/87/7148/10000/4638/857/4660/7450/5159/1293/1278",28
"hsa00830","hsa00830","Retinol metabolism","15/353","68/8224",1.28004108880413e-07,9.18429481216965e-06,7.27602303109717e-06,"54575/79799/7364/1562/130/1577/127/126/7366/10170/1555/7367/125/195814/54905",15
"hsa00982","hsa00982","Drug metabolism - cytochrome P450","15/353","72/8224",2.84973337486296e-07,1.63574695717134e-05,1.29587875572716e-05,"54575/79799/7364/130/2330/1577/127/126/7366/1555/2938/7367/125/4257/4129",15
"hsa04270","hsa04270","Vascular smooth muscle contraction","20/353","134/8224",9.5636627196945e-07,4.5746186675872e-05,3.62412482009476e-05,"5567/5332/10267/255189/10398/72/4629/3779/3778/4638/59/2982/10335/775/4660/111/800/4628/84647/94274",20
"hsa04610","hsa04610","Complement and coagulation cascades","15/353","86/8224",3.10395254137314e-06,0.000127262054196299,0.000100820112622045,"722/710/718/730/715/7450/3684/716/2/1191/1675/2162/3689/11326/5054",15
"hsa00980","hsa00980","Metabolism of xenobiotics by cytochrome P450","14/353","78/8224",4.67617816951352e-06,0.000154186414833158,0.000122150249785301,"54575/79799/7364/130/1577/127/126/7366/1555/2938/7367/125/1545/4257",14
"hsa04976","hsa04976","Bile secretion","15/353","89/8224",4.83511405400148e-06,0.000154186414833158,0.000122150249785301,"54575/5567/79799/7364/481/1080/760/7366/8671/6523/123264/7367/477/111/358",15
"hsa04810","hsa04810","Regulation of actin cytoskeleton","25/353","229/8224",1.51189375686148e-05,0.000433913508219245,0.000343756896296926,"3694/10788/10451/3678/10398/2335/4629/730/2260/3679/22808/87/1129/10000/4638/1073/4660/3684/4628/7852/2252/5159/6387/2261/3689",25
"hsa04972","hsa04972","Pancreatic secretion","15/353","102/8224",2.65777404338883e-05,0.000693437409502359,0.000549358079781807,"481/1080/5332/760/8671/1811/1179/22802/489/477/493/3778/111/84647/1056",15
