"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005201","GO:0005201","extracellular matrix structural constituent","54/685","163/17697",8.45274450782291e-36,6.24657819128113e-33,5.25849684644562e-33,"COL6A2/COL6A1/BGN/MFAP2/COL1A1/COL17A1/AEBP1/COMP/FBLN2/TNC/FN1/THBS2/COL10A1/FBLN1/COL11A1/PRELP/MUC17/MATN2/OGN/MUC5AC/LAMB2/SRPX/TNXB/CILP/LTBP4/ABI3BP/FBLN5/PODN/SPON1/EMILIN1/HSPG2/EFEMP2/MGP/VWF/COL14A1/MFAP4/COL8A2/FBN1/COL15A1/EFEMP1/COL8A1/COL6A3/PCOLCE/LTBP1/LTBP2/COL5A1/DCN/MFAP5/DPT/COL3A1/ASPN/COL1A2/ELN/CTHRC1",54
"GO:0005539","GO:0005539","glycosaminoglycan binding","43/685","229/17697",4.3874306970001e-18,1.62115564254154e-15,1.36472186417214e-15,"HAPLN3/BGN/APOE/COMP/FN1/JCHAIN/THBS2/REG4/SULF1/THBS4/COL11A1/PRELP/REG3A/SAA1/FGFR1/TNXB/SLIT3/PTPRS/LAYN/NRP2/LTBP4/CCDC80/SFRP1/SLIT2/ABI3BP/RSPO3/ADAMTS1/DPYSL3/ANXA6/CRISPLD2/TGFBR3/FGF7/FBN1/SELP/CCN2/PCOLCE/LTBP2/COL5A1/DCN/GPNMB/FGFBP1/CEL/SOD3",43
"GO:0008201","GO:0008201","heparin binding","33/685","169/17697",1.09765373096864e-14,2.70388702395275e-12,2.27618721053497e-12,"APOE/COMP/FN1/THBS2/REG4/THBS4/COL11A1/PRELP/SAA1/FGFR1/TNXB/SLIT3/PTPRS/NRP2/CCDC80/SFRP1/SLIT2/ABI3BP/RSPO3/ADAMTS1/CRISPLD2/TGFBR3/FGF7/FBN1/SELP/CCN2/PCOLCE/LTBP2/COL5A1/GPNMB/FGFBP1/CEL/SOD3",33
"GO:0005178","GO:0005178","integrin binding","28/685","132/17697",1.33103884463637e-13,2.4590942654657e-11,2.07011567678973e-11,"TSPAN8/ITGB6/ITGA5/CDH17/COMP/SFRP2/FN1/THBS4/SPP1/LAMB2/TLN1/ACTN1/JAM3/TNXB/TSPAN4/LTBP4/FBLN5/S1PR3/EMILIN1/VWF/TIMP2/FBN1/CXCL12/CCN2/COL5A1/ITGB2/COL3A1/GPNMB",28
"GO:1901681","GO:1901681","sulfur compound binding","37/685","250/17697",2.12455833619774e-12,3.14009722090026e-10,2.64339784566919e-10,"APOE/COMP/FN1/THBS2/REG4/THBS4/COL11A1/PRELP/SAA1/FGFR1/TNXB/SLIT3/PTPRS/NRP2/CCDC80/SFRP1/SLIT2/ABI3BP/RSPO3/CHST15/ADAMTS1/DPYSL3/ANXA6/CRISPLD2/TGFBR3/FGF7/FBN1/SELP/MGST1/CCN2/PCOLCE/LTBP2/COL5A1/GPNMB/FGFBP1/CEL/SOD3",37
"GO:0030020","GO:0030020","extracellular matrix structural constituent conferring tensile strength","14/685","41/17697",1.98655160655362e-10,2.44676939540521e-08,2.05974034995296e-08,"COL6A2/COL6A1/COL1A1/COL17A1/COL10A1/COL11A1/COL14A1/COL8A2/COL15A1/COL8A1/COL6A3/COL5A1/COL3A1/COL1A2",14
"GO:0019838","GO:0019838","growth factor binding","24/685","137/17697",5.03923416989803e-10,5.31999150222092e-08,4.47847728482667e-08,"LTBP3/COL6A1/COL1A1/HTRA3/NKD2/FGFR1/NRP2/LTBP4/TGFB3/NGFR/CD109/TGFBR3/IGFBP6/PDGFRB/IGFBP5/A2M/CCN2/LTBP1/LTBP2/FGFR3/COL5A1/COL3A1/COL1A2/FGFBP1",24
"GO:0003779","GO:0003779","actin binding","45/685","431/17697",1.51148453358108e-09,1.39623383789552e-07,1.17537810440318e-07,"PLS1/POF1B/IQGAP2/PDLIM4/FLNA/OBSL1/FSCN1/TPM2/MYO1A/FLNC/TAGLN/TNS1/CNN1/MYH11/MLPH/SYNPO2/TMOD1/TLN1/ACTN1/PDLIM7/LDB3/MAP1A/LMOD1/DAAM2/MAP1B/KCNMA1/PDLIM3/MYLK/ABLIM3/CFL2/PALLD/DBN1/FERMT2/NEXN/CAP2/SVIL/ANXA6/CALD1/MYH10/CXCR4/EPS8L3/VIL1/SORBS1/ANTXR1/TNNC2",45
"GO:0005518","GO:0005518","collagen binding","16/685","67/17697",3.80352357174436e-09,3.12311546613231e-07,2.62910225836365e-07,"AEBP1/COMP/FN1/SPOCK1/SPARCL1/DDR2/ABI3BP/PODN/VWF/COL14A1/C1QTNF1/MRC2/PCOLCE/DCN/ASPN/ANTXR1",16
"GO:0048018","GO:0048018","receptor ligand activity","44/685","482/17697",1.25554150098037e-07,9.27845169224496e-06,7.81078975873053e-06,"FAM3D/TGFB1/CLEC11A/CCL28/C10orf99/TYMP/TFF1/VGF/IL33/SFRP2/LEFTY1/TDGF1/CXCL14/THBS4/RETNLB/SPP1/CCL21/GUCA2A/OGN/SAA1/GAL/PPBP/WNT9A/METRN/CARTPT/TGFB3/GREM1/FGF7/FBN1/CCL20/EFEMP1/CXCL12/CTF1/CCN2/CCL19/SCG2/AREG/EREG/VIP/SECTM1/CXCL3/FAM3B/GPNMB/CCL5",44
