"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ABCA3",2.03,2.095,33.789,0,0,362.021
"NLGN2",0.873,3.068,14.827,0,0,90.94
"PNMA1",0.754,4.839,13.441,0,0,74.95
"CNTNAP1",0.777,2.422,13.046,0,0,70.587
"PLPPR2",0.693,3.991,13.028,0,0,70.382
"TMOD1",0.811,1.289,12.496,0,0,64.654
"LAMB2",0.745,5.537,12.477,0,0,64.45
"NFIC",0.692,4.872,12.443,0,0,64.093
"CACNA1H",0.985,3.014,12.406,0,0,63.698
"DPYSL2",0.767,5.062,12.296,0,0,62.54
"BOC",0.882,1.706,12.289,0,0,62.472
"PSD",0.896,1.688,12.114,0,0,60.645
"ATP8B2",0.724,2.816,12.087,0,0,60.356
"PDZD4",0.633,0.936,12.062,0,0,60.099
"FLNC",1.448,3.666,11.954,0,0,58.986
"NFATC1",0.626,1.925,11.928,0,0,58.726
"FGFR1",0.802,3.034,11.918,0,0,58.621
"ITGA7",0.826,2.93,11.907,0,0,58.51
"EBF4",0.74,2.399,11.868,0,0,58.111
"KANK2",0.73,4.523,11.843,0,0,57.852
"GRIK5",0.606,0.81,11.83,0,0,57.722
"NIBAN1",0.939,2.86,11.819,0,0,57.606
"AOC3",1.135,3.748,11.771,0,0,57.115
"CAVIN1",0.919,6.43,11.759,0,0,56.997
"TGFB1I1",0.789,4.153,11.734,0,0,56.743
"TLN1",0.613,6.72,11.719,0,0,56.587
"FLNA",1.129,7.573,11.704,0,0,56.44
"PBX3",0.626,3.343,11.703,0,0,56.429
"REEP2",0.686,1.285,11.689,0,0,56.29
"SYNC",0.741,1.371,11.673,0,0,56.121
"NAT2",-1.111,2.584,-11.63,0,0,55.694
"MRAS",0.647,2.405,11.627,0,0,55.656
"CBX6",0.846,3.639,11.617,0,0,55.555
"ZBTB47",0.601,3.385,11.572,0,0,55.107
"CLIP3",0.822,3.316,11.551,0,0,54.896
"THBS4",1.548,2.347,11.536,0,0,54.75
"SAMD4A",0.59,2.138,11.534,0,0,54.723
"ACTN1",0.586,6.413,11.527,0,0,54.655
"SPEG",0.777,1.099,11.522,0,0,54.61
"EHD2",0.889,5.434,11.491,0,0,54.299
"LIX1L",0.653,3.665,11.474,0,0,54.125
"TACR2",1.25,1.869,11.391,0,0,53.3
"TNS2",0.633,3.896,11.344,0,0,52.836
"GNAO1",0.774,1.203,11.336,0,0,52.752
"TNS1",1.105,4.194,11.32,0,0,52.6
"DACT3",0.79,1.848,11.239,0,0,51.802
"HSPB7",1.273,2.254,11.225,0,0,51.66
"SSC5D",0.992,2.506,11.163,0,0,51.06
"CADM3",0.674,0.767,11.161,0,0,51.036
"SRPX",0.909,2.855,11.13,0,0,50.731
"JPH2",0.976,1.765,11.122,0,0,50.657
"WNT9A",0.707,1.393,11.114,0,0,50.574
"PPP1R14D",-1.214,5.732,-11.092,0,0,50.365
"PDLIM7",0.746,5.228,11.091,0,0,50.352
"ATP1A2",0.812,0.796,11.077,0,0,50.221
"JAM3",0.642,3.155,11.055,0,0,50.008
"PLEKHO1",0.677,3.538,11.039,0,0,49.852
"GYPC",0.751,3.259,11.038,0,0,49.844
"DNAJB5",0.694,1.977,11.038,0,0,49.836
