"","p.value","HR","Low 95%CI","High 95%CI"
"A2M",0.038,1.125,1.007,1.256
"TGFB1",0.004,1.2,1.06,1.358
"SERPINE1",0,1.179,1.088,1.279
"APOE",0.003,1.117,1.038,1.201
"SERPINF1",0.003,1.168,1.056,1.293
"VWF",0,1.239,1.101,1.394
"TIMP2",0.014,1.139,1.026,1.264
"SERPING1",0.019,1.124,1.019,1.239
"ADAMTS1",0.003,1.191,1.063,1.334
"CLU",0.008,1.114,1.029,1.207
"C7",0.003,1.106,1.035,1.182
"ELN",0.013,1.122,1.024,1.229
"C1R",0.033,1.123,1.009,1.25
"FN1",0.016,1.088,1.016,1.166
"APOD",0,1.138,1.068,1.211
"RAB3IL1",0,1.304,1.139,1.493
"ABCA3",0.043,1.107,1.003,1.222
"ABI3BP",0.015,1.144,1.027,1.274
"CCDC80",0.005,1.122,1.035,1.217
"COL8A1",0.025,1.104,1.012,1.204
"OGN",0.019,1.089,1.014,1.17
"MAMDC2",0.017,1.153,1.026,1.297
"MFAP5",0.011,1.119,1.026,1.22
"ITGA5",0.012,1.139,1.029,1.26
"DEFA5",0.007,0.942,0.902,0.984
"ACKR1",0.029,1.09,1.009,1.178
"NGFR",0.001,1.169,1.067,1.282
"GYPC",0.024,1.155,1.019,1.309
"CLDN5",0.021,1.137,1.02,1.267
"CXCR4",0.01,1.141,1.032,1.262
"CADM3",0.003,1.212,1.065,1.379
"ACSL6",0.007,0.868,0.784,0.962
"PDLIM4",0.05,1.116,1,1.245
"MN1",0.039,1.139,1.006,1.289
"ACTA2",0.005,1.13,1.038,1.231
"TGFB3",0.003,1.174,1.057,1.304
"CNN1",0.005,1.082,1.024,1.144
"CASQ2",0.022,1.105,1.014,1.203
"PDGFRB",0.005,1.179,1.052,1.322
"MYL9",0.003,1.12,1.038,1.209
"DBN1",0.032,1.146,1.012,1.299
"CFL2",0.018,1.152,1.025,1.295
"EFEMP2",0.003,1.212,1.069,1.374
"CSPG4",0.036,1.129,1.008,1.265
"FBN1",0.028,1.118,1.012,1.234
"BGN",0.002,1.153,1.055,1.261
"FBLN5",0.001,1.233,1.093,1.39
"MYLK",0.035,1.09,1.006,1.182
"CALD1",0.035,1.097,1.007,1.195
"LMOD1",0.011,1.092,1.02,1.168
"FLNA",0.013,1.116,1.024,1.217
"COL5A1",0.048,1.104,1.001,1.217
"ASPN",0.003,1.116,1.038,1.199
"TPM2",0.005,1.131,1.039,1.231
"FSCN1",0.016,1.119,1.021,1.227
"DAAM2",0.033,1.165,1.012,1.342
"ACTG2",0.046,1.056,1.001,1.115
"VIM",0.032,1.142,1.011,1.29
"TAGLN",0.004,1.113,1.035,1.197
"TUBA1A",0.039,1.122,1.006,1.252
"TNS1",0.005,1.127,1.037,1.225
"PDLIM3",0.015,1.12,1.022,1.228
"NEXN",0.037,1.102,1.006,1.207
"FERMT2",0.009,1.158,1.037,1.293
"PDLIM7",0.006,1.19,1.052,1.346
"COLEC12",0.006,1.181,1.048,1.331
"TGFB1I1",0.003,1.195,1.062,1.345
"ITGA7",0.028,1.138,1.014,1.277
"SCGB2A1",0.021,0.897,0.818,0.984
"COMP",0.008,1.082,1.021,1.147
"AREG",0.047,0.926,0.858,0.999
"COL6A1",0.023,1.129,1.017,1.253
"COL6A2",0.017,1.128,1.022,1.244
"FBLN1",0.019,1.101,1.016,1.192
"THBS2",0.021,1.086,1.013,1.164
"PCOLCE",0.035,1.127,1.009,1.259
"LOXL1",0.027,1.147,1.016,1.295
"TNXB",0.039,1.132,1.006,1.272
"ADCY5",0.008,1.156,1.038,1.287
"AKT3",0.009,1.194,1.044,1.365
