#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
A1CF	APOBEC1	9606.ENSP00000378868	9606.ENSP00000229304	0	0	0	0	0.077	0.683	0.600	0.945	0.992
A1CF	HGD	9606.ENSP00000378868	9606.ENSP00000283871	0	0	0	0	0.673	0	0	0	0.673
A1CF	FABP1	9606.ENSP00000378868	9606.ENSP00000295834	0	0	0	0	0.430	0	0	0	0.430
A1CF	SULT1C2	9606.ENSP00000378868	9606.ENSP00000319622	0	0	0	0	0.597	0	0	0	0.597
A1CF	PLA2G12B	9606.ENSP00000378868	9606.ENSP00000362123	0	0	0	0	0.580	0	0	0	0.580
A1CF	SLC17A4	9606.ENSP00000378868	9606.ENSP00000367137	0	0	0	0	0.156	0	0	0.468	0.532
A1CF	SLC16A9	9606.ENSP00000378868	9606.ENSP00000378757	0	0	0	0	0.062	0	0	0.510	0.520
A1CF	CBX6	9606.ENSP00000378868	9606.ENSP00000384490	0	0	0	0	0	0	0	0.433	0.433
A2M	DCN	9606.ENSP00000323929	9606.ENSP00000052754	0	0	0	0	0.155	0.105	0	0.335	0.453
A2M	MMP2	9606.ENSP00000323929	9606.ENSP00000219070	0	0	0	0	0.133	0.632	0.600	0.570	0.937
A2M	TGFB1	9606.ENSP00000323929	9606.ENSP00000221930	0	0	0	0	0	0	0	0.752	0.752
A2M	SERPINE1	9606.ENSP00000323929	9606.ENSP00000223095	0	0	0	0	0	0	0	0.718	0.718
A2M	APOE	9606.ENSP00000323929	9606.ENSP00000252486	0	0	0	0	0.158	0.270	0	0.785	0.856
A2M	SERPINF1	9606.ENSP00000323929	9606.ENSP00000254722	0	0	0	0	0.142	0	0	0.359	0.426
A2M	SLC40A1	9606.ENSP00000323929	9606.ENSP00000261024	0	0	0	0	0.098	0	0	0.388	0.424
A2M	LYZ	9606.ENSP00000323929	9606.ENSP00000261267	0	0	0	0	0.088	0.213	0	0.244	0.410
A2M	VWF	9606.ENSP00000323929	9606.ENSP00000261405	0	0	0	0	0.213	0	0	0.530	0.615
A2M	TIMP2	9606.ENSP00000323929	9606.ENSP00000262768	0	0	0	0	0.088	0	0	0.427	0.455
A2M	TIMP3	9606.ENSP00000323929	9606.ENSP00000266085	0	0	0	0	0.164	0	0	0.352	0.435
A2M	SERPING1	9606.ENSP00000323929	9606.ENSP00000278407	0	0	0	0	0.140	0	0	0.716	0.746
A2M	ADAMTS1	9606.ENSP00000323929	9606.ENSP00000284984	0	0	0	0	0.065	0.270	0	0.224	0.424
A2M	CLU	9606.ENSP00000323929	9606.ENSP00000315130	0	0	0	0	0.076	0	0	0.649	0.662
A2M	C7	9606.ENSP00000323929	9606.ENSP00000322061	0	0	0	0	0.097	0	0	0.373	0.409
A2M	ELN	9606.ENSP00000323929	9606.ENSP00000351807	0	0	0	0	0.077	0	0	0.391	0.413
A2M	C4BPA	9606.ENSP00000323929	9606.ENSP00000356037	0	0	0	0	0.066	0	0	0.404	0.419
A2M	GPT	9606.ENSP00000323929	9606.ENSP00000378408	0	0	0	0	0.091	0	0	0.423	0.453
A2M	SAA1	9606.ENSP00000323929	9606.ENSP00000384906	0	0	0	0	0.049	0	0	0.457	0.461
A2M	PIGR	9606.ENSP00000323929	9606.ENSP00000348888	0	0	0	0	0.095	0	0	0.438	0.469
A2M	C1S	9606.ENSP00000323929	9606.ENSP00000385035	0	0	0	0	0.119	0.134	0	0.476	0.566
A2M	C1R	9606.ENSP00000323929	9606.ENSP00000438615	0	0	0	0	0.142	0.134	0	0.477	0.577
A2M	FN1	9606.ENSP00000323929	9606.ENSP00000346839	0	0	0	0	0.112	0.058	0	0.566	0.605
A2M	APOD	9606.ENSP00000323929	9606.ENSP00000345179	0	0	0	0	0.125	0.282	0	0.435	0.614
A2M	RAB3IL1	9606.ENSP00000323929	9606.ENSP00000378313	0	0	0	0	0.076	0	0	0.864	0.869
ABCA3	LEPREL2	9606.ENSP00000301732	9606.ENSP00000478600	0	0	0	0	0	0	0	0.500	0.499
ABCA3	DUOXA2	9606.ENSP00000301732	9606.ENSP00000319705	0	0	0	0	0.650	0	0	0	0.650
ABI3BP	CCDC80	9606.ENSP00000284322	9606.ENSP00000206423	0	0	0	0	0.161	0	0	0.410	0.484
ABI3BP	COL8A1	9606.ENSP00000284322	9606.ENSP00000261037	0	0	0	0	0.118	0	0	0.359	0.411
ABI3BP	OGN	9606.ENSP00000284322	9606.ENSP00000262551	0	0	0	0	0.225	0	0	0.264	0.405
ABI3BP	MAMDC2	9606.ENSP00000284322	9606.ENSP00000366387	0	0	0	0	0.085	0	0	0.470	0.494
ABLIM3	NTN1	9606.ENSP00000425394	9606.ENSP00000173229	0	0	0	0	0.062	0	0.600	0.412	0.760
ABLIM3	MFAP5	9606.ENSP00000425394	9606.ENSP00000352455	0	0	0	0	0	0	0	0.489	0.489
ACE2	MEP1A	9606.ENSP00000389326	9606.ENSP00000230588	0	0	0	0	0.253	0	0.800	0.543	0.925
ACE2	VIL1	9606.ENSP00000389326	9606.ENSP00000248444	0	0	0	0	0.513	0	0	0	0.513
